Cenário,Instâncias,Ramp up,Usuários,Req/s,Mediana (ms),95% (ms),Falhas,Taxa Falha (%)
Cenário 1: Imagem 1MB,1,2,120,485,46000,68000,24,6
Cenário 1: Imagem 1MB,1,10,170,319,45000,61000,9,3
Cenário 1: Imagem 1MB,1,50,250,256,59000,86000,18,7
Cenário 1: Imagem 1MB,2,2,120,12266,610,1200,176,1
Cenário 1: Imagem 1MB,2,10,170,6289,1100,2000,657,10
Cenário 1: Imagem 1MB,2,50,250,12372,3200,9100,1558,13
Cenário 1: Imagem 1MB,3,2,120,4107,510,1600,138,3
Cenário 1: Imagem 1MB,3,10,170,7170,230,920,265,4
Cenário 1: Imagem 1MB,3,50,250,12277,290,3500,1300,11
Cenário 2: Texto 400KB,1,15,570,12139,2900,4200,0,0
Cenário 2: Texto 400KB,1,20,600,10045,4500,6500,227,2
Cenário 2: Texto 400KB,1,25,635,10804,4500,6500,603,6
Cenário 2: Texto 400KB,2,5,560,8846,1500,4600,40,0
Cenário 2: Texto 400KB,2,10,570,9486,2100,8900,172,2
Cenário 2: Texto 400KB,2,15,580,10412,2400,9300,488,5
Cenário 2: Texto 400KB,3,15,580,11392,3000,5600,60,1
Cenário 2: Texto 400KB,3,25,610,11966,2900,8100,552,5
Cenário 2: Texto 400KB,3,30,630,124840,2500,8500,795,6
Cenário 3: Imagem 300KB,1,15,570,11957,2900,4800,0,0
Cenário 3: Imagem 300KB,1,20,600,11463,3700,5900,307,3
Cenário 3: Imagem 300KB,1,25,650,12563,4000,5300,1204,10
Cenário 3: Imagem 300KB,2,15,550,10906,2300,7200,51,0
Cenário 3: Imagem 300KB,2,20,600,11715,2900,8000,505,4
Cenário 3: Imagem 300KB,2,25,615,11189,2500,9200,1065,10
Cenário 3: Imagem 300KB,3,15,550,12862,2300,4300,1,0
Cenário 3: Imagem 300KB,3,20,600,11832,2600,8300,322,3
Cenário 3: Imagem 300KB,3,25,620,12572,2800,10000,865,7
Cenário 4: Híbrido,1,2,500,4746,1300,4200,33,1
Cenário 4: Híbrido,1,10,600,3887,11000,21000,91,2
Cenário 4: Híbrido,1,30,700,4095,19000,25000,429,10
Cenário 4: Híbrido,2,2,500,7423,22000,1900,246,3
Cenário 4: Híbrido,2,10,600,8184,4600,10000,1879,10
Cenário 4: Híbrido,2,30,700,37285,4500,13000,4312,12
Cenário 4: Híbrido,3,2,500,4630,1400,4700,176,4
Cenário 4: Híbrido,3,10,600,4883,6600,25000,63,1
Cenário 4: Híbrido,3,30,700,4405,26000,29000,289,7
